price,rooms,total_area_m2,floor,address,title,url
21 500 000 ₽346 774 ₽/м²,3,62 м²,6/22,Москва,"3-комн. апартаменты, 62 м², 6/22 этаж",https://www.cian.ru/cat.php?id_user=11048289&deal_type=sale&flat=yes&engine_version=2
17 000 000 ₽427 136 ₽/м²,1,39.8 м²,3/20,Москва,"1-комн. квартира, 39,8 м², 3/20 этаж",https://www.cian.ru/cat.php?id_user=15144&deal_type=sale&flat=yes&engine_version=2
21 000 000 ₽350 000 ₽/м²,2,60 м²,1/17,Москва,"2-комн. квартира, 60 м², 1/17 этаж",https://www.cian.ru/cat.php?id_user=86432482&deal_type=sale&flat=yes&engine_version=2
16 900 000 ₽331 373 ₽/м²,2,51 м²,1/12,Москва,"2-комн. квартира, 51 м², 1/12 этаж",https://www.cian.ru/cat.php?id_user=127259664&deal_type=sale&flat=yes&engine_version=2
21 699 000 ₽404 832 ₽/м²,2,53.6 м²,17/21,Москва,"2-комн. квартира, 53,6 м², 17/21 этаж",https://www.cian.ru/cat.php?id_user=123860344&deal_type=sale&flat=yes&engine_version=2
17 211 750 ₽216 500 ₽/м²,2,79.5 м²,5/45,Москва,"2-комн. квартира, 79,5 м², 5/45 этаж",https://www.cian.ru/cat.php?id_user=7759914&deal_type=sale&flat=yes&engine_version=2
23 500 000 ₽566 265 ₽/м²,1,41.5 м²,25/30,Москва,"1-комн. квартира, 41,5 м², 25/30 этаж",https://www.cian.ru/cat.php?id_user=86432482&deal_type=sale&flat=yes&engine_version=2
17 732 000 ₽220 000 ₽/м²,2,80.6 м²,15/45,Москва,"2-комн. квартира, 80,6 м², 15/45 этаж",https://www.cian.ru/cat.php?id_user=7759914&deal_type=sale&flat=yes&engine_version=2
21 950 000 ₽451 646 ₽/м²,1,48.6 м²,7/7,Москва,"1-комн. апартаменты, 48,6 м², 7/7 этаж",https://www.cian.ru/cat.php?id_user=12369743&deal_type=sale&flat=yes&engine_version=2
20 450 000 ₽351 556 ₽/м²,2,58.17 м²,13/19,Москва,"2-комн. квартира, 58,17 м², 13/19 этаж",https://www.cian.ru/cat.php?id_user=49314598&deal_type=sale&flat=yes&engine_version=2
18 900 000 ₽313 953 ₽/м²,2,60.2 м²,10/16,Москва,"2-комн. квартира, 60,2 м², 10/16 этаж",https://www.cian.ru/cat.php?id_user=86432482&deal_type=sale&flat=yes&engine_version=2
6 000 000 ₽177 515 ₽/м²,1,33.8 м²,2/5,Москва,"1-комн. квартира, 33,8 м², 2/5 этаж",https://www.cian.ru/cat.php?id_user=251984&deal_type=sale&flat=yes&engine_version=2
15 000 000 ₽333 333 ₽/м²,2,45 м²,10/21,Москва,"2-комн. апартаменты, 45 м², 10/21 этаж",https://www.cian.ru/cat.php?id_user=48341215&deal_type=sale&flat=yes&engine_version=2
18 500 000 ₽288 162 ₽/м²,3,64.2 м²,12/12,Москва,"3-комн. квартира, 64,2 м², 12/12 этаж",https://www.cian.ru/cat.php?id_user=96035971&deal_type=sale&flat=yes&engine_version=2
